ISO,Country/Territory,GDPPerCapita,GDP,EcologicalFootprint,GHGIntensity,EnergyIntensity,WaterIntensity,ClimateCosts,InfraQuality,ForeignPop,EduAttainment,EaseBusiness,ICTDevelopment,KOFIndex,RegulatoryQuality,ClimateResilience,GlobalAdaptation,GovtEffectiveness
OMN,Oman,41675,476,6.315752258,811.86111,-206.1947121,,0.613,4.876968861,,50.36949158,78,6.43,62.09418106,0.420803756,,54.72535308,0.20693244
PAK,Pakistan,5527,18,0.788661662,1647.776061,24.12316878,333.6363636,0.6054,3.789005756,,27.61001968,136,2.42,53.5315094,-0.593339503,,38.96454842,-0.584986567
PLW,Palau,14823,255,,,,,0.0247,,30.35615613,,133,,45.52441025,-0.597702622,,0,-0.228963077
PAN,Panama,24469,282,2.32487834,390.1453201,80.90454838,0.759150805,0.075,4.704954624,,,79,4.91,71.71248627,0.387361974,,50.81417778,0.008232099
PNG,Papua New Guinea,4199,709,1.849228212,520.6601107,,,0.1956,,,,108,,49.78310776,-0.653404832,,35.17092772,-0.657793283
PRY,Paraguay,13082,943,3.675733926,1527.62534,-36.93956313,2.062393162,0.7049,2.559470415,3.354045303,36.63816833,113,4.18,63.0599823,-0.231345043,,47.55374967,-0.812392414
PER,Peru,13434,41,2.294237472,387.7374243,-14.89958814,0.826325411,0.069,3.089028835,0.297809472,56.01539993,68,4.85,69.26222229,0.418227434,,50.80355425,-0.12788868
PHL,Philippines,8343,904,1.104289718,668.9440275,45.76800308,17.02713987,0.6113,2.961179733,5.12510469,,124,4.67,66.96657562,0.018699206,,43.14913099,-0.062704764
POL,Poland,29122,647,4.442619659,827.8131249,28.39101101,21.39925373,0.1281,4.248186588,1.683551908,84.86032104,33,6.89,81.20464325,0.881679177,46.1,63.11863626,0.634567082
PRT,Portugal,31673,240,3.687876485,335.0034113,71.66828631,,0.1432,5.693336964,8.254102516,36.77096176,34,7.13,83.51728058,0.908749223,98.4,61.62107414,1.332171917
PRI,Puerto Rico,,,,32.42509604,,14.32394366,0.4228,4.906206547,2.806591249,,64,,34.32840729,0.869893134,,,-0.09989804
